scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified,measurement,state_semantics,token_bytes
HiddenCover,1048576,0.05,52429,random,6.0,186627.0,5972176,135.5984,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,7.0,186525.0,5968912,117.0267,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,8.0,186414.0,5965360,115.1049,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,9.0,186316.0,5962224,115.6214,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,10.0,186376.0,5964144,121.0472,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,11.0,186624.0,5972080,125.9052,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,12.0,186648.0,5972848,121.9702,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,13.0,186553.0,5969808,124.2779,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,14.0,187088.0,5986928,117.6078,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,15.0,186694.0,5974320,123.4453,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,16.0,186571.0,5970384,161.95940000000002,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,17.0,186727.0,5975376,142.9706,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,18.0,186775.0,5976912,125.0397,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,random,19.0,186971.0,5983184,127.7479,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,0.0,222823.0,7130448,159.2373,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,1.0,222823.0,7130448,134.69310000000002,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,2.0,222823.0,7130448,133.52100000000002,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,3.0,222823.0,7130448,133.0745,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,4.0,222823.0,7130448,135.7057,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,5.0,222823.0,7130448,141.97969999999998,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,6.0,222823.0,7130448,137.0174,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,7.0,222823.0,7130448,135.07469999999998,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,8.0,222823.0,7130448,140.1344,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,9.0,222823.0,7130448,135.8304,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,10.0,222823.0,7130448,138.0718,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,11.0,222823.0,7130448,146.2436,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,12.0,222823.0,7130448,142.1011,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,13.0,222823.0,7130448,172.4955,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,14.0,222823.0,7130448,136.04459999999995,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,15.0,222823.0,7130448,148.2377,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,16.0,222823.0,7130448,153.306,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,17.0,222823.0,7130448,142.5204,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,18.0,222823.0,7130448,139.9696,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.05,52429,dispersed,19.0,222823.0,7130448,137.55100000000002,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,0.0,20.0,752,4.731800000000001,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,1.0,14.0,560,4.053,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,2.0,29.0,1040,5.440300000000001,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,3.0,23.0,848,4.4786,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,4.0,23.0,848,4.8829,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,5.0,20.0,752,5.5991,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,6.0,27.0,976,5.9054,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,7.0,22.0,816,6.0484,True,7,authenticated Complete-Subtree Cover,
