scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
HiddenCover,16384,10,clustered,5.0,23,12.0,0,496,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,24,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,25,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,26,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,27,12.0,0,496,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,28,12.0,0,496,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,5.0,29,12.0,0,496,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,0,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,1,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,2,14.0,0,560,0.0295,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,3,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,4,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,5,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,6,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,7,14.0,0,560,0.0295,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,8,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,9,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,10,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,11,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,12,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,13,14.0,0,560,0.0295,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,14,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,15,14.0,0,560,0.0293,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,16,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,17,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,18,14.0,0,560,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,19,14.0,0,560,0.0296,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,20,14.0,0,560,0.0293,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,21,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,22,14.0,0,560,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,23,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,24,14.0,0,560,0.0294,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,25,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,26,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,27,14.0,0,560,0.0291,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,28,14.0,0,560,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,6.0,29,14.0,0,560,0.0293,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,0,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,1,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,2,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,3,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,4,13.0,0,528,0.0286,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,5,13.0,0,528,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,6,13.0,0,528,0.0283,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,7,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,8,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,9,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,10,13.0,0,528,0.0286,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,11,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,12,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,13,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,14,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,15,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,16,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,17,13.0,0,528,0.029,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,18,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
